trial_id,pair_or_basket,method,sample,exit_reason,trades,gross_bps,cost_bps,net_bps
113,XLK-APH,baseline,train,eod,12,5.433689074176882,44.372751459105814,-38.93906238492894
113,XLK-APH,baseline,train,max_hold,49,-7.674596442438622,154.781625751836,-162.45622219427466
113,XLK-APH,baseline,train,reversion,6,39.9653325516963,33.47180933139262,6.493523220303678
113,XLK-APH,baseline,validation,eod,3,15.868025203665516,23.240828548421163,-7.372803344755647
113,XLK-APH,baseline,validation,max_hold,12,18.69340063975673,21.527732782958726,-2.834332143201995
113,XLK-APH,baseline,validation,reversion,1,5.909422472810833,1.3359007481370022,4.573521724673831
113,XLK-APH,baseline,test,eod,13,-25.33849190909067,75.8337363964291,-101.17222830551977
113,XLK-APH,baseline,test,max_hold,43,5.816796087284743,144.93526589825734,-139.1184698109726
113,XLK-APH,baseline,test,reversion,1,4.013353575587075,2.08782196993084,1.9255316056562353
122,XLK-PLTR,coint_filter,train,eod,40,42.54559057271749,135.87088225301096,-93.32529168029346
122,XLK-PLTR,coint_filter,train,max_hold,92,-80.56191189180048,242.4210416473018,-322.9829535391022
122,XLK-PLTR,coint_filter,train,reversion,60,656.6384833719218,294.9978313392842,361.6406520326375
122,XLK-PLTR,coint_filter,train,stop_loss,13,-136.72012924485364,69.1187801182791,-205.83890936313279
122,XLK-PLTR,coint_filter,validation,eod,8,7.581868674121637,31.01457402522198,-23.43270535110035
122,XLK-PLTR,coint_filter,validation,max_hold,24,-4.591403228419086,37.107790462402185,-41.69919369082127
122,XLK-PLTR,coint_filter,validation,reversion,14,186.08008790239919,37.79553516300004,148.28455273939915
122,XLK-PLTR,coint_filter,test,eod,32,-64.26753197879758,97.63342390100598,-161.90095587980355
122,XLK-PLTR,coint_filter,test,max_hold,91,-36.920084408430775,280.0322976539206,-316.9523820623513
122,XLK-PLTR,coint_filter,test,reversion,21,242.1578555625671,67.62001374239445,174.53784182017264
123,XLK-PLTR,coint_filter,train,eod,40,42.54559057271749,135.87088225301096,-93.32529168029346
123,XLK-PLTR,coint_filter,train,max_hold,93,-87.63341528876181,242.71334454912474,-330.34675983788657
123,XLK-PLTR,coint_filter,train,reversion,60,656.6384833719218,294.9978313392842,361.6406520326375
123,XLK-PLTR,coint_filter,validation,eod,8,7.581868674121637,31.01457402522198,-23.43270535110035
123,XLK-PLTR,coint_filter,validation,max_hold,24,-4.591403228419086,37.107790462402185,-41.69919369082127
123,XLK-PLTR,coint_filter,validation,reversion,14,186.08008790239919,37.79553516300004,148.28455273939915
123,XLK-PLTR,coint_filter,test,eod,32,-64.26753197879758,97.63342390100598,-161.90095587980355
123,XLK-PLTR,coint_filter,test,max_hold,91,-36.920084408430775,280.0322976539206,-316.9523820623513
123,XLK-PLTR,coint_filter,test,reversion,21,242.1578555625671,67.62001374239445,174.53784182017264
124,XLK-PLTR,coint_filter,train,eod,27,22.5100790760795,107.92856165714208,-85.41848258106256
124,XLK-PLTR,coint_filter,train,max_hold,71,-85.58735337505084,155.17914894024446,-240.76650231529536
124,XLK-PLTR,coint_filter,train,reversion,20,154.906226759201,93.11694913222658,61.7892776269744
124,XLK-PLTR,coint_filter,train,stop_loss,13,-136.72012924485364,69.1187801182791,-205.83890936313279
124,XLK-PLTR,coint_filter,validation,eod,6,13.407448253297408,29.810741479426778,-16.403293226129374
124,XLK-PLTR,coint_filter,validation,max_hold,18,26.0979189225706,18.660074842488175,7.437844080082419
124,XLK-PLTR,coint_filter,validation,reversion,4,36.75777159421349,3.8402154133439206,32.91755618086956
124,XLK-PLTR,coint_filter,test,eod,25,-30.456476561675256,87.77716094377617,-118.23363750545141
124,XLK-PLTR,coint_filter,test,max_hold,68,-28.147110477232587,172.97973150984703,-201.1268419870796
124,XLK-PLTR,coint_filter,test,reversion,10,99.41241574243195,36.354187472339525,63.058228270092414
125,XLK-PLTR,coint_filter,train,eod,27,22.5100790760795,107.92856165714208,-85.41848258106256
125,XLK-PLTR,coint_filter,train,max_hold,72,-92.65885677201217,155.47145184206747,-248.1303086140796
125,XLK-PLTR,coint_filter,train,reversion,20,154.906226759201,93.11694913222658,61.7892776269744
125,XLK-PLTR,coint_filter,validation,eod,6,13.407448253297408,29.810741479426778,-16.403293226129374
125,XLK-PLTR,coint_filter,validation,max_hold,18,26.0979189225706,18.660074842488175,7.437844080082419
125,XLK-PLTR,coint_filter,validation,reversion,4,36.75777159421349,3.8402154133439206,32.91755618086956
125,XLK-PLTR,coint_filter,test,eod,25,-30.456476561675256,87.77716094377617,-118.23363750545141
125,XLK-PLTR,coint_filter,test,max_hold,68,-28.147110477232587,172.97973150984703,-201.1268419870796
125,XLK-PLTR,coint_filter,test,reversion,10,99.41241574243195,36.354187472339525,63.058228270092414
126,XLK-PLTR,coint_filter,train,eod,15,3.417879284579178,38.041748261091804,-34.62386897651262
126,XLK-PLTR,coint_filter,train,max_hold,40,17.641349833351747,89.8584287767831,-72.21707894343135
126,XLK-PLTR,coint_filter,train,reversion,12,104.30229841650274,59.304260069005004,44.99803834749772
126,XLK-PLTR,coint_filter,train,stop_loss,13,-136.72012924485364,69.1187801182791,-205.83890936313279
126,XLK-PLTR,coint_filter,validation,eod,3,9.497005460971275,22.883416081111214,-13.386410620139943
