stock,spread_type,beta,policy,wait_min,latency_min,entry_z,exit_z,min_edge_bps,val_trades,val_gross_bps,val_cost_bps,val_net_bps,test_trades,test_gross_bps,test_cost_bps,test_net_bps,test_avg_net_per_trade_bps
INTC,cum_residual_return,0.15600245164790402,maker_skip,1,0,2.0,0.5,25.0,6,36.91008951152413,84.47294806665886,-47.562858555134724,19,160.30926880398007,187.41947606133016,-27.11020725735009,-1.4268530135447417
INTC,cum_residual_return,0.15600245164790402,maker_skip,2,0,1.0,0.0,0.0,15,91.17477679386997,170.4790905384966,-79.30431374462663,48,156.91145665489563,467.556548127776,-310.6450914728804,-6.471772739018341
INTC,cum_residual_return,0.15600245164790402,maker_skip,2,0,1.0,0.0,25.0,15,91.17477679386997,170.4790905384966,-79.30431374462663,48,156.91145665489563,467.556548127776,-310.6450914728804,-6.471772739018341
INTC,cum_residual_return,0.15600245164790402,maker_skip,2,0,1.0,0.5,0.0,16,82.98598387312816,155.88632342324564,-72.90033955011748,56,125.32722812496392,541.3095618283197,-415.98233370335583,-7.428255958988497
INTC,cum_residual_return,0.15600245164790402,maker_skip,2,0,1.0,0.5,25.0,16,82.98598387312816,155.88632342324564,-72.90033955011748,56,125.32722812496392,541.3095618283197,-415.98233370335583,-7.428255958988497
INTC,cum_residual_return,0.15600245164790402,maker_skip,2,0,1.5,0.0,0.0,11,-60.32423469399768,135.80306688454093,-196.1273015785386,34,351.8057360243093,265.5981079949171,86.20762802939223,2.5355184714527126
INTC,cum_residual_return,0.15600245164790402,maker_skip,2,0,1.5,0.0,25.0,11,-60.32423469399768,135.80306688454093,-196.1273015785386,34,351.8057360243093,265.5981079949171,86.20762802939223,2.5355184714527126
INTC,cum_residual_return,0.15600245164790402,maker_skip,2,0,1.5,0.5,0.0,11,-41.959619484336656,134.40448305503642,-176.36410253937308,34,184.03664698926758,281.262121187148,-97.22547419788043,-2.859572770525895
INTC,cum_residual_return,0.15600245164790402,maker_skip,2,0,1.5,0.5,25.0,11,-41.959619484336656,134.40448305503642,-176.36410253937308,34,184.03664698926758,281.262121187148,-97.22547419788043,-2.859572770525895
INTC,cum_residual_return,0.15600245164790402,maker_skip,2,0,2.0,0.0,0.0,6,1.6914078866612243,66.74240845300837,-65.05100056634714,21,502.51038071421175,228.23111938851622,274.27926132569553,13.0609172059855
